imdbid,role,talentid
0369436,actor,0000702
0423294,actor,0000313
1263670,actor,0000313
0272152,actor,0000313
0410764,actor,0000313
0164108,actor,0000313
0114938,actor,0000313
0117057,actor,0000313
0430634,actor,0000313
0371746,actor,0000313
1121096,actor,0000313
0329575,actor,0000313
0174204,actor,0000313
0137363,actor,0000313
1104001,actor,0000313
0435651,actor,0000313
1234548,actor,0000313
0118158,actor,0000313
0348593,actor,0000313
0208874,actor,0000313
0790736,actor,0000313
1403865,actor,0000313
0118715,actor,0000313
0831387,actor,0913822
0372784,actor,0913822
1375666,actor,0913822
0325710,actor,0913822
0397535,actor,0913822
0498380,actor,0913822
0120773,actor,0000493
0119848,actor,0000493
0113228,actor,0000493
0117119,actor,0000493
1205558,actor,0000496
0123209,actor,0000496
0116240,actor,0000496
0331468,actor,0000496
0114558,actor,0000496
0395495,actor,0000496
0116367,actor,0000496
0278435,actor,0000496
1231583,actor,0000496
0202677,actor,0000496
0889573,actor,0000496
0205271,actor,0000368
0234354,actor,0000368
0756729,actor,0000368
0460829,actor,0000368
0361309,actor,0000368
2582846,actor,0000368
0115906,actor,0000368
0406158,actor,0000368
0132477,actor,0000368
2247476,actor,0000368
0116324,actor,0001546
0164085,actor,0001512
1609479,actor,0000404
1371150,actor,0000404
0369735,actor,0000404
0791304,actor,0000404
0283832,actor,0000366
1815799,actor,0000366
0246544,actor,0000366
0168629,actor,0000366
0808417,actor,0000366
0115725,actor,0000367
0190861,actor,0000367
0164003,actor,0000367
0386669,actor,0000367
0310778,actor,0000367
0254199,actor,0000367
0117582,actor,0000367
0120744,actor,0000367
0211181,actor,0000367
0185014,actor,0000140
1183251,actor,0000140
1506999,actor,0000140
0181865,actor,0000140
0821640,actor,0000140
1204975,actor,0000140
0314786,actor,0000140
0119174,actor,0000140
0203755,actor,0000140
1027718,actor,0000140
0388182,actor,0000140
0463034,actor,0000140
0116409,actor,0000140
2465146,actor,0000140
1294213,actor,0000140
0120787,actor,0000140
0260866,actor,0000140
0112346,actor,0000140
0443632,actor,0000140
0864761,actor,0000146
0387131,actor,0000146
0278731,actor,0000146
1201607,actor,0000146
0118661,actor,0000146
2278388,actor,0000146
0384686,actor,0000146
0330373,actor,0000146
0887912,actor,0000146
0119079,actor,0000146
0289765,actor,0000146
0312004,actor,0000146
0172396,actor,0000146
1646987,actor,0000146
0116209,actor,0000146
0114558,actor,0000146
0433405,actor,0000146
1074638,actor,0000146
1415283,actor,0000146
0120794,actor,0000146
0800320,actor,0000146
0373889,actor,0000146
0976051,actor,0000146
0252076,actor,0000146
0286788,actor,0000147
0808244,actor,0000147
0396752,actor,0000147
0829098,actor,0000147
0317198,actor,0000147
1315981,actor,0000147
2802144,actor,0000147
1504320,actor,0000147
0795421,actor,0000147
1365483,actor,0000147
1067106,actor,0000147
0462396,actor,0000147
0278500,actor,0000147
0373450,actor,0000147
0243155,actor,0000147
0120323,actor,0000147
2058107,actor,0000147
0314331,actor,0000147
1340800,actor,0000147
2870756,actor,0000147
0455805,actor,0000147
0454848,actor,0000149
1535108,actor,0000149
0258000,actor,0000149
0166485,actor,0000149
0410377,actor,0000149
1321860,actor,0000149
0408790,actor,0000149
0118884,actor,0000149
0476964,actor,0000149
0344510,actor,0000149
1855401,actor,0005162
0120108,actor,0005162
0120701,actor,0005162
0122459,actor,0005162
0120510,actor,0005162
0478087,actor,0000228
0114369,actor,0000228
0117913,actor,0000228
1615147,actor,0000228
0120768,actor,0000228
1247692,actor,0000228
0289992,actor,0000228
0348150,actor,0000228
0223897,actor,0000228
0114814,actor,0000228
0119668,actor,0000228
1194417,actor,0000228
0169547,actor,0000228
1234548,actor,0000228
0272152,actor,0000228
1182345,actor,0000228
0114069,actor,0000228
0120623,actor,0000228
2170439,actor,0000228
0363473,actor,0000228
0189584,actor,0000228
1499658,actor,0000228
0120824,actor,0000228
0119488,actor,0000228
0119336,actor,0000228
0316356,actor,0000380
0120633,actor,0000380
0120647,actor,0000380
0279111,actor,0000380
0117333,actor,0000380
0114534,actor,0000380
0327137,actor,0000380
0251160,actor,0000380
0118632,actor,0000380
0384642,actor,0000380
0114345,actor,0000380
0369436,actor,0000380
1194263,actor,0000380
0114496,actor,0000380
1699147,actor,0000380
0338216,actor,0000380
1872194,actor,0000380
0898367,actor,0000380
