award,imdbid,kind,talentid,year
0,1193138,N,0000123,2010
0,1315981,N,0000147,2010
0,1057500,N,0000151,2010
0,0887912,N,0719637,2010
4,0887912,W,0000941,2010
4,0887912,W,1676793,2010
4,0887912,W,1291566,2010
4,0887912,W,0788513,2010
4,1019452,N,0001054,2010
4,1019452,N,0001053,2010
1,0361748,W,0910607,2010
1,0790712,N,0000437,2010
1,0824758,N,0001626,2010
1,0380510,N,0001804,2010
1,1057500,N,0000354,2010
2,0878804,W,0000113,2010
2,0824758,N,0000545,2010
2,1174732,N,1659547,2010
2,0929632,N,2829737,2010
2,1135503,N,0000658,2010
3,0929632,W,0594898,2010
3,0875034,N,0004851,2010
3,1193138,N,0267812,2010
3,1263670,N,0350454,2010
3,1193138,N,0447695,2010
0,1655442,W,0241121,2012
0,1554091,N,1554091,2012
0,1033575,N,0000123,2012
0,1340800,N,0000198,2012
0,1210166,N,0000093,2012
4,1655442,W,0486627,2012
4,1454029,N,0337676,2012
4,1454029,N,0001060,2012
4,1454029,N,0055431,2012
1,1532503,W,0001626,2012
1,1655420,N,0000110,2012
1,1210166,N,1706767,2012
1,1291584,N,0000560,2012
1,0477302,N,0001884,2012
2,1007029,W,0000658,2012
2,1602098,N,0000335,2012
2,1454029,N,0205626,2012
2,1568346,N,1913734,2012
2,1655420,N,0931329,2012
3,1454029,W,0818055,2012
3,1655442,N,0067367,2012
3,1454029,N,1567113,2012
3,1478338,N,0565250,2012
3,1602098,N,0005216,2012
0,0790636,W,0000190,2014
0,1800241,N,0000288,2014
0,1821549,N,0001136,2014
0,0993846,N,0000138,2014
0,2024544,N,0252230,2014
4,2024544,W,0000093,2014
4,2024544,W,0306890,2014
4,2024544,W,1250070,2014
4,2024544,W,0000537,2014
4,2024544,W,0441097,2014
4,0993846,N,0000217,2014
4,0993846,N,0000138,2014
4,0993846,N,2110175,2014
4,0993846,N,0863374,2014
1,0790636,W,0001467,2014
1,1535109,N,5831542,2014
1,1800241,N,0177896,2014
1,2024544,N,1055413,2014
1,0993846,N,1706767,2014
2,2334873,W,0000949,2014
2,1800241,N,0010736,2014
2,1454468,N,0000113,2014
2,2431286,N,0001132,2014
2,1322269,N,0000658,2014
3,2024544,W,2143282,2014
3,2334873,N,1020089,2014
3,1800241,N,2225369,2014
3,1322269,N,0000210,2014
3,1821549,N,0820053,2014
